Order_ID,Order_Date,City,State,Category,Sub_Category,Product_Name,Brand,Quantity,Unit_Price,Discount,Sales,Profit,Customer_Type,Delivery_Time_Min,Payment_Method,Rating
B1000,2026-06-18,Pune,Maharashtra,Dairy,Dairy,Curd,Mother Dairy,7,644,10,4057.2,692.11,Returning,37,Cash,3
B1001,2026-03-02,Delhi,Delhi,Snacks,Snacks,Biscuits,Britannia,8,231,0,1848,209.49,New,53,UPI,3
B1002,2026-01-07,Delhi,Delhi,Fruits,Fruits,Banana,Fresh,8,112,5,851.2,155.76,New,14,UPI,3.9
B1003,2026-06-09,Mumbai,Maharashtra,Beverages,Beverages,Juice,Real,2,565,5,1073.5,260.64,New,51,Credit Card,4.6
B1004,2026-01-12,Delhi,Delhi,Beverages,Beverages,Juice,Real,7,361,15,2147.95,331.36,New,32,UPI,4.3
B1005,2026-02-10,Pune,Maharashtra,Snacks,Snacks,Biscuits,Britannia,7,389,20,2178.4,336.88,Returning,47,Wallet,4.3
B1006,2026-01-11,Mumbai,Maharashtra,Fruits,Fruits,Banana,Fresh,5,791,5,3757.25,556.93,Returning,18,UPI,3.1
B1007,2026-01-21,Ahmedabad,Gujarat,Beverages,Beverages,Soft Drink,Coca-Cola,3,362,0,1086,253.13,New,59,Cash,3.3
B1008,2026-05-05,Jaipur,Rajasthan,Snacks,Snacks,Biscuits,Britannia,1,774,20,619.2,59.94,New,57,Credit Card,4.1
B1009,2026-04-04,Mumbai,Maharashtra,Fruits,Fruits,Banana,Fresh,2,79,0,158,27.68,New,25,Wallet,4.3
B1010,2026-04-03,Jaipur,Rajasthan,Beverages,Beverages,Juice,Real,4,575,5,2185,459,Returning,60,Credit Card,4.9
B1011,2026-04-16,Mumbai,Maharashtra,Fruits,Fruits,Banana,Fresh,2,168,10,302.4,31.15,New,31,Cash,3.7
B1012,2026-01-02,Delhi,Delhi,Grocery,Grocery,Rice,Fortune,3,625,15,1593.75,253.91,New,21,Cash,4
B1013,2026-06-02,Bengaluru,Karnataka,Fruits,Fruits,Apple,Fresh,2,321,5,609.9,147,Returning,10,Wallet,4.3
B1014,2026-05-06,Ahmedabad,Gujarat,Snacks,Snacks,Chips,Lay's,5,571,10,2569.5,597.7,New,39,Credit Card,3.7
B1015,2026-04-28,Jaipur,Rajasthan,Beverages,Beverages,Soft Drink,Coca-Cola,6,673,10,3634.2,890.95,Returning,56,UPI,5
B1016,2026-02-09,Mumbai,Maharashtra,Dairy,Dairy,Curd,Mother Dairy,4,625,20,2000,220.21,Returning,21,Cash,3.3
B1017,2026-02-20,Ahmedabad,Gujarat,Grocery,Grocery,Rice,Fortune,5,99,20,396,70.29,New,59,UPI,3.6
B1018,2026-05-27,Mumbai,Maharashtra,Snacks,Snacks,Chips,Lay's,4,383,20,1225.6,276.58,New,53,Wallet,4
B1019,2026-04-07,Bengaluru,Karnataka,Fruits,Fruits,Apple,Fresh,1,452,5,429.4,106.63,Returning,10,Wallet,5
B1020,2026-06-21,Jaipur,Rajasthan,Fruits,Fruits,Banana,Fresh,7,566,0,3962,469.24,Returning,42,Credit Card,3.7
B1021,2026-06-08,Jaipur,Rajasthan,Dairy,Dairy,Milk,Amul,5,772,10,3474,647.51,Returning,50,Cash,3.4
B1022,2026-01-25,Jaipur,Rajasthan,Snacks,Snacks,Biscuits,Britannia,1,135,20,108,11.71,Returning,16,Credit Card,3.2
B1023,2026-05-11,Delhi,Delhi,Snacks,Snacks,Chips,Lay's,3,33,15,84.15,19.38,Returning,42,Wallet,4
B1024,2026-04-14,Jaipur,Rajasthan,Snacks,Snacks,Chips,Lay's,2,389,10,700.2,154.98,Returning,54,UPI,4.2
B1025,2026-06-10,Mumbai,Maharashtra,Fruits,Fruits,Banana,Fresh,8,607,10,4370.4,979.27,Returning,16,Cash,4.4
B1026,2026-02-01,Delhi,Delhi,Beverages,Beverages,Soft Drink,Coca-Cola,8,307,15,2087.6,348.96,New,58,Wallet,4
B1027,2026-06-28,Pune,Maharashtra,Fruits,Fruits,Banana,Fresh,7,632,20,3539.2,701.67,Returning,59,Wallet,4.5
B1028,2026-03-24,Bengaluru,Karnataka,Fruits,Fruits,Banana,Fresh,4,696,20,2227.2,202.73,New,44,Cash,3.7
B1029,2026-04-16,Ahmedabad,Gujarat,Snacks,Snacks,Biscuits,Britannia,2,243,5,461.7,55.08,New,52,UPI,4.8
B1030,2026-05-19,Pune,Maharashtra,Snacks,Snacks,Biscuits,Britannia,1,137,0,137,32.78,New,34,Cash,3.9
B1031,2026-03-27,Delhi,Delhi,Fruits,Fruits,Banana,Fresh,7,739,0,5173,884.38,New,44,Cash,4.7
B1032,2026-04-04,Jaipur,Rajasthan,Snacks,Snacks,Biscuits,Britannia,5,164,0,820,162.49,Returning,35,UPI,4.8
B1033,2026-05-17,Delhi,Delhi,Beverages,Beverages,Soft Drink,Coca-Cola,6,569,5,3243.3,533.96,Returning,13,Credit Card,3.9
B1034,2026-05-30,Jaipur,Rajasthan,Snacks,Snacks,Chips,Lay's,5,757,20,3028,731.48,New,16,UPI,3.4
B1035,2026-03-20,Ahmedabad,Gujarat,Snacks,Snacks,Biscuits,Britannia,5,300,5,1425,130.34,Returning,37,UPI,4.7
B1036,2026-05-31,Jaipur,Rajasthan,Dairy,Dairy,Milk,Amul,8,729,0,5832,927.69,New,41,Cash,4.7
B1037,2026-05-18,Pune,Maharashtra,Grocery,Grocery,Rice,Fortune,5,594,15,2524.5,558.52,Returning,16,Cash,4.6
B1038,2026-03-19,Pune,Maharashtra,Fruits,Fruits,Banana,Fresh,7,766,20,4289.6,597.77,Returning,44,Credit Card,4.5
B1039,2026-06-26,Pune,Maharashtra,Grocery,Grocery,Rice,Fortune,4,636,15,2162.4,446.08,Returning,48,Wallet,3.7
B1040,2026-01-24,Delhi,Delhi,Snacks,Snacks,Biscuits,Britannia,4,23,5,87.4,13.75,Returning,54,Cash,3.8
B1041,2026-04-26,Delhi,Delhi,Beverages,Beverages,Soft Drink,Coca-Cola,5,536,0,2680,416.69,New,43,Wallet,4.5
B1042,2026-01-31,Mumbai,Maharashtra,Grocery,Grocery,Atta,Aashirvaad,3,161,0,483,76.58,Returning,41,Credit Card,4.1
B1043,2026-03-15,Delhi,Delhi,Dairy,Dairy,Curd,Mother Dairy,4,775,5,2945,613.42,Returning,27,UPI,4.1
B1044,2026-02-23,Pune,Maharashtra,Fruits,Fruits,Apple,Fresh,5,345,10,1552.5,172.17,New,38,Credit Card,4.2
B1045,2026-06-23,Jaipur,Rajasthan,Grocery,Grocery,Rice,Fortune,4,520,5,1976,271.57,New,16,Wallet,4
B1046,2026-03-20,Jaipur,Rajasthan,Beverages,Beverages,Soft Drink,Coca-Cola,7,775,10,4882.5,989.58,New,56,Credit Card,3.1
B1047,2026-06-04,Delhi,Delhi,Beverages,Beverages,Juice,Real,2,66,5,125.4,28.71,New,55,Wallet,4.2
B1048,2026-04-05,Jaipur,Rajasthan,Dairy,Dairy,Milk,Amul,4,306,20,979.2,142.86,New,60,Cash,3.5
B1049,2026-03-25,Jaipur,Rajasthan,Grocery,Grocery,Atta,Aashirvaad,6,164,15,836.4,109.04,Returning,52,Cash,5
B1050,2026-05-20,Pune,Maharashtra,Grocery,Grocery,Atta,Aashirvaad,2,102,15,173.4,42.66,Returning,39,Credit Card,3.8
B1051,2026-06-01,Ahmedabad,Gujarat,Snacks,Snacks,Biscuits,Britannia,8,244,15,1659.2,297.83,Returning,18,Credit Card,3.6
B1052,2026-04-01,Mumbai,Maharashtra,Fruits,Fruits,Banana,Fresh,2,611,5,1160.9,241.78,Returning,45,UPI,4.5
B1053,2026-02-16,Mumbai,Maharashtra,Fruits,Fruits,Apple,Fresh,6,215,10,1161,143.25,New,57,Credit Card,4.2
B1054,2026-01-26,Jaipur,Rajasthan,Snacks,Snacks,Chips,Lay's,7,172,0,1204,186.05,New,55,UPI,4.4
B1055,2026-06-15,Bengaluru,Karnataka,Snacks,Snacks,Chips,Lay's,1,624,0,624,63.16,Returning,28,Cash,4.8
B1056,2026-06-13,Delhi,Delhi,Beverages,Beverages,Soft Drink,Coca-Cola,3,708,10,1911.6,387.4,New,53,Wallet,3.1
B1057,2026-04-14,Pune,Maharashtra,Grocery,Grocery,Atta,Aashirvaad,1,498,10,448.2,87.44,New,10,Cash,3.2
B1058,2026-05-12,Bengaluru,Karnataka,Beverages,Beverages,Soft Drink,Coca-Cola,4,791,20,2531.2,415.78,New,19,Cash,4.5
B1059,2026-05-26,Jaipur,Rajasthan,Dairy,Dairy,Milk,Amul,4,612,0,2448,300.63,New,35,UPI,4.1
B1060,2026-06-26,Bengaluru,Karnataka,Fruits,Fruits,Apple,Fresh,4,479,15,1628.6,228.52,New,47,Cash,4.1
B1061,2026-05-29,Delhi,Delhi,Dairy,Dairy,Milk,Amul,7,475,5,3158.75,775.67,New,31,UPI,3.8
B1062,2026-05-31,Mumbai,Maharashtra,Fruits,Fruits,Banana,Fresh,4,420,10,1512,208.15,Returning,58,Cash,4.3
B1063,2026-02-18,Mumbai,Maharashtra,Grocery,Grocery,Rice,Fortune,1,224,5,212.8,19.59,New,34,Wallet,4
B1064,2026-01-04,Delhi,Delhi,Fruits,Fruits,Apple,Fresh,8,725,5,5510,543.27,Returning,47,Credit Card,4.9
B1065,2026-04-05,Pune,Maharashtra,Beverages,Beverages,Juice,Real,7,191,0,1337,235.52,New,52,UPI,3
B1066,2026-04-26,Delhi,Delhi,Beverages,Beverages,Soft Drink,Coca-Cola,1,633,0,633,115.68,New,52,Wallet,4.2
B1067,2026-02-16,Pune,Maharashtra,Dairy,Dairy,Curd,Mother Dairy,7,527,5,3504.55,590.81,New,25,Wallet,4.1
B1068,2026-03-20,Mumbai,Maharashtra,Fruits,Fruits,Banana,Fresh,1,526,10,473.4,57.45,Returning,16,UPI,3.6
B1069,2026-05-24,Ahmedabad,Gujarat,Dairy,Dairy,Milk,Amul,1,247,10,222.3,50.85,New,34,Credit Card,4.3
B1070,2026-04-17,Delhi,Delhi,Snacks,Snacks,Biscuits,Britannia,3,729,20,1749.6,155.51,New,59,Credit Card,4.1
B1071,2026-01-08,Bengaluru,Karnataka,Dairy,Dairy,Curd,Mother Dairy,4,575,10,2070,503.99,Returning,21,UPI,3.7
B1072,2026-03-07,Mumbai,Maharashtra,Snacks,Snacks,Biscuits,Britannia,6,378,0,2268,546.11,Returning,60,Cash,3
B1073,2026-03-21,Delhi,Delhi,Fruits,Fruits,Apple,Fresh,3,558,20,1339.2,212.9,New,18,Credit Card,4
B1074,2026-01-11,Pune,Maharashtra,Snacks,Snacks,Biscuits,Britannia,7,354,5,2354.1,297.32,New,52,UPI,3.1
B1075,2026-06-22,Delhi,Delhi,Beverages,Beverages,Juice,Real,7,676,15,4022.2,814.28,New,55,Cash,4.6
B1076,2026-06-23,Mumbai,Maharashtra,Dairy,Dairy,Milk,Amul,5,121,10,544.5,118.67,Returning,28,Credit Card,3.6
B1077,2026-03-11,Ahmedabad,Gujarat,Beverages,Beverages,Soft Drink,Coca-Cola,6,73,20,350.4,42.85,New,36,Wallet,4.4
